name,type,subtype1,subtype2,subtype3,price
Chenin Blanc Boschendal,beverage,wine,white,bottle,119
Gwerzterminer Adama Tabor,beverage,wine,white,bottle,138
Gwerzterminer Mastri,beverage,wine,white,bottle,126
Gwerzterminer Yarden,beverage,wine,white,bottle,164
Herencia Altes,beverage,wine,white,bottle,180
Kazamata,beverage,wine,white,bottle,143
Lugana Zenato,beverage,wine,white,bottle,100
Mandolas Oremus,beverage,wine,white,bottle,220
Masa Israeli Vitkin,beverage,wine,white,bottle,178
Muscat Yarden,beverage,wine,white,bottle,92
Poggio Al Tesoro Solosole,beverage,wine,white,bottle,190
Riesling Trimbach,beverage,wine,white,bottle,197
Roussanne Adama Tabor,beverage,wine,white,bottle,138
Sancerre Lacheteau,beverage,wine,white,bottle,210
Sauvignon Blanc Matua,beverage,wine,white,bottle,176
Sauvignon Blanc Med House,beverage,wine,white,bottle,156
Sauvignon Blanc Net,beverage,wine,white,bottle,190
Sauvignon Blanc Sterling,beverage,wine,white,bottle,210
Verdejo Viura Venus Sanz,beverage,wine,white,bottle,74
Villa Brooklyn,beverage,wine,white,bottle,141
White Frank,beverage,wine,white,bottle,162
White Grenache,beverage,wine,white,bottle,250
White Jasmine Recanati,beverage,wine,white,bottle,100
White Tulip,beverage,wine,white,bottle,155
G. Alastro Planeta,beverage,wine,white,glass,42
G. Atlantis Argyros,beverage,wine,white,glass,44
G. Bertani Le Quaiare Lugana,beverage,wine,white,glass,34
G. Chablis Albert Bichot,beverage,wine,white,glass,49
G. Chablis Premier Cru,beverage,wine,white,glass,44
G. Chardonnay Odem,beverage,wine,white,glass,49
G. Chardonnay Recanati,beverage,wine,white,glass,47
G. Chenin Blanc Boschendal,beverage,wine,white,glass,25
G. Gwerzterminer Adama Tabor,beverage,wine,white,glass,56
G. Gwerzterminer Mastri,beverage,wine,white,glass,32
G. Gwerzterminer Yarden,beverage,wine,white,glass,42
G. Herencia Altes,beverage,wine,white,glass,46
G. Kazamata,beverage,wine,white,glass,19
G. Lugana Zenato,beverage,wine,white,glass,14
G. Masa Israeli Vitkin,beverage,wine,white,glass,46
G. Muscat Yarden,beverage,wine,white,glass,20
G. Poggio Al Tesoro Solosole,beverage,wine,white,glass,0
G. Rawsons Retreat Chardonnay,beverage,wine,white,glass,18
G. Roussanne Adama Tabor,beverage,wine,white,glass,54
G. Sancerre Lacheteau,beverage,wine,white,glass,36
G.  Sauvignon Blanc Matua,beverage,wine,white,glass,43
G. Sauvignon Blanc Med House,beverage,wine,white,glass,39
G. Sauvignon Blanc Net,beverage,wine,white,glass,48
G. Sauvignon Blanc Sterling,beverage,wine,white,glass,53
G. Villa Brooklyn,beverage,wine,white,glass,23
G. White Frank,beverage,wine,white,glass,42
G. White Grenache,beverage,wine,white,glass,46
G. White Jasmine Recanati,beverage,wine,white,glass,25
G. White Tulip,beverage,wine,white,glass,14
Sangeria,beverage,cocktails,red,classic,35
